strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
583.0,30,3.39,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
584.0,30,3.06,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
585.0,30,2.8,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
586.0,30,2.58,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
587.0,30,2.23,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
588.0,30,2.14,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
589.0,30,2.01,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
590.0,30,1.79,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
591.0,30,1.64,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
592.0,30,1.48,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
593.0,30,1.31,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
594.0,30,1.18,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
595.0,30,1.09,0.0312596875,0.3,0.0,0.0,0.0,561.02,1
596.0,30,0.99,0.062509375,0.3,0.0,0.0,0.0,561.02,1
597.0,30,0.88,0.062509375,0.3,0.0,0.0,0.0,561.02,1
598.0,30,0.79,0.062509375,0.3,0.0,0.0,0.0,561.02,1
599.0,30,0.69,0.062509375,0.3,0.0,0.0,0.0,561.02,1
600.0,30,0.63,0.062509375,0.3,0.0,0.0,0.0,561.02,1
601.0,30,0.56,0.062509375,0.3,0.0,0.0,0.0,561.02,1
602.0,30,0.49,0.062509375,0.3,0.0,0.0,0.0,561.02,1
603.0,30,0.39,0.062509375,0.3,0.0,0.0,0.0,561.02,1
604.0,30,0.36,0.062509375,0.3,0.0,0.0,0.0,561.02,1
605.0,30,0.34,0.062509375,0.3,0.0,0.0,0.0,561.02,1
606.0,30,0.3,0.062509375,0.3,0.0,0.0,0.0,561.02,1
607.0,30,0.28,0.062509375,0.3,0.0,0.0,0.0,561.02,1
608.0,30,0.25,0.062509375,0.3,0.0,0.0,0.0,561.02,1
609.0,30,0.22,0.062509375,0.3,0.0,0.0,0.0,561.02,1
610.0,30,0.2,0.062509375,0.3,0.0,0.0,0.0,561.02,1
611.0,30,0.17,0.062509375,0.3,0.0,0.0,0.0,561.02,1
612.0,30,0.16,0.062509375,0.3,0.0,0.0,0.0,561.02,1
613.0,30,0.14,0.062509375,0.3,0.0,0.0,0.0,561.02,1
614.0,30,0.12,0.062509375,0.3,0.0,0.0,0.0,561.02,1
615.0,30,0.12,0.062509375,0.3,0.0,0.0,0.0,561.02,1
616.0,30,0.1,0.062509375,0.3,0.0,0.0,0.0,561.02,1
617.0,30,0.09,0.062509375,0.3,0.0,0.0,0.0,561.02,1
618.0,30,0.09,0.062509375,0.3,0.0,0.0,0.0,561.02,1
619.0,30,0.09,0.062509375,0.3,0.0,0.0,0.0,561.02,1
620.0,30,0.07,0.062509375,0.3,0.0,0.0,0.0,561.02,1
621.0,30,0.09,0.062509375,0.3,0.0,0.0,0.0,561.02,1
622.0,30,0.08,0.062509375,0.3,0.0,0.0,0.0,561.02,1
623.0,30,0.06,0.062509375,0.3,0.0,0.0,0.0,561.02,1
624.0,30,0.05,0.062509375,0.3,0.0,0.0,0.0,561.02,1
625.0,30,0.05,0.062509375,0.3,0.0,0.0,0.0,561.02,1
626.0,30,0.05,0.062509375,0.3,0.0,0.0,0.0,561.02,1
627.0,30,0.05,0.062509375,0.3,0.0,0.0,0.0,561.02,1
628.0,30,0.04,0.062509375,0.3,0.0,0.0,0.0,561.02,1
629.0,30,0.04,0.062509375,0.3,0.0,0.0,0.0,561.02,1
630.0,30,0.04,0.062509375,0.3,0.0,0.0,0.0,561.02,1
631.0,30,0.03,0.062509375,0.3,0.0,0.0,0.0,561.02,1
632.0,30,0.04,0.062509375,0.3,0.0,0.0,0.0,561.02,1
633.0,30,0.03,0.062509375,0.3,0.0,0.0,0.0,561.02,1
634.0,30,0.04,0.062509375,0.3,0.0,0.0,0.0,561.02,1
635.0,30,0.03,0.062509375,0.3,0.0,0.0,0.0,561.02,1
636.0,30,0.03,0.062509375,0.3,0.0,0.0,0.0,561.02,1
637.0,30,0.03,0.062509375,0.3,0.0,0.0,0.0,561.02,1
